Date,Records,Bytes,Packets,Date_Code
20210328T125000,2.02,131.82,2.32,1
20210328T125500,207.98,963369.18,6577.68,2
20210328T130000,0,0,0,3
20210328T130500,0,0,0,4
20210328T131000,0,0,0,5
20210328T131500,25.83,18825.11,203.94,6
20210328T132000,114.54,709782.73,7634.44,7
20210328T132500,138.02,992033.04,10060.36,8
20210328T133000,132.35,601107.19,9258.08,9
20210328T133500,140.15,4053773.79,12448.94,10
20210328T134000,98.71,570362.71,8766.94,11
20210328T134500,149.98,4103721.56,12133.58,12
20210328T135000,79.42,1030888.86,7746.73,13
20210328T135500,0,0,0,14
20210328T140000,0,0,0,15
20210328T140500,0,0,0,16
20210328T141000,0,0,0,17
20210328T141500,0,0,0,18
20210328T142000,0,0,0,19
20210328T142500,0,0,0,20
20210328T143000,0,0,0,21
20210328T143500,0,0,0,22
20210328T144000,0,0,0,23
20210328T144500,0,0,0,24
20210328T145000,0,0,0,25
20210328T145500,0,0,0,26
20210328T150000,0,0,0,27
20210328T150500,0,0,0,28
20210328T151000,0,0,0,29
20210328T151500,364.78,1911918.85,2675.07,30
20210328T152000,217.92,1731132.78,2161.48,31
20210328T152500,250.39,63985581.36,47841.32,32
20210328T153000,135.85,113991118,83615.48,33
20210328T153500,142.39,69219970.98,50992.71,34
20210328T154000,135.91,116098121.1,85259.43,35
20210328T154500,182.87,16116260.44,12358.57,36
20210328T155000,148.36,3919823.99,3804.3,37
20210328T155500,5.78,20799.9,52.1,38
20210328T160000,226.27,3621893.52,3854.23,39
20210328T160500,379.27,112075042.9,78719.71,40
20210328T161000,158.89,7940065.62,10367.35,41
20210328T161500,204.62,1177128.54,2458.08,42
20210328T162000,168.06,3542783.56,3422.17,43
20210328T162500,227.04,1594567.18,2363.46,44
20210328T163000,291.36,2429803.89,3316.13,45
20210328T163500,221.55,3538817.47,3883.1,46
20210328T164000,281.43,3590677.02,4008.88,47
20210328T164500,223.42,992661.13,1880.44,48
20210328T165000,151.29,32438496.65,22334.39,49
20210328T165500,189.44,33443792.63,28246.92,50
20210328T170000,174.57,48726011.64,34856.72,51
20210328T170500,1.54,25763.83,39.97,52
